Looking for shortest distance between Arbre and AlphaCentauri...
  Travel complete, distance: 316 shortest: Infinity longest: -Infinity
  Travel complete, distance: 251 shortest: 316 longest: 316
  Travel complete, distance: 356 shortest: 251 longest: 316
  Travel complete, distance: 333 shortest: 251 longest: 356
  Travel complete, distance: 296 shortest: 251 longest: 356
  Travel complete, distance: 338 shortest: 251 longest: 356
  Travel complete, distance: 402 shortest: 251 longest: 356
  Travel complete, distance: 342 shortest: 251 longest: 402
  Travel complete, distance: 447 shortest: 251 longest: 402
  Travel complete, distance: 324 shortest: 251 longest: 447
  Travel complete, distance: 382 shortest: 251 longest: 447
  Travel complete, distance: 319 shortest: 251 longest: 447
  Travel complete, distance: 501 shortest: 251 longest: 447
  Travel complete, distance: 523 shortest: 251 longest: 501
  Travel complete, distance: 506 shortest: 251 longest: 523
  Travel complete, distance: 423 shortest: 251 longest: 523
  Travel complete, distance: 483 shortest: 251 longest: 523
  Travel complete, distance: 378 shortest: 251 longest: 523
  Travel complete, distance: 459 shortest: 251 longest: 523
  Travel complete, distance: 541 shortest: 251 longest: 523
  Travel complete, distance: 454 shortest: 251 longest: 541
  Travel complete, distance: 436 shortest: 251 longest: 541
  Travel complete, distance: 496 shortest: 251 longest: 541
  Travel complete, distance: 396 shortest: 251 longest: 541
  Travel complete, distance: 297 shortest: 251 longest: 541
  Travel complete, distance: 232 shortest: 251 longest: 541
  Travel complete, distance: 396 shortest: 232 longest: 541
  Travel complete, distance: 373 shortest: 232 longest: 541
  Travel complete, distance: 349 shortest: 232 longest: 541
  Travel complete, distance: 391 shortest: 232 longest: 541
  Travel complete, distance: 442 shortest: 232 longest: 541
  Travel complete, distance: 395 shortest: 232 longest: 541
  Travel complete, distance: 559 shortest: 232 longest: 541
  Travel complete, distance: 419 shortest: 232 longest: 559
  Travel complete, distance: 494 shortest: 232 longest: 559
  Travel complete, distance: 401 shortest: 232 longest: 559
  Travel complete, distance: 482 shortest: 232 longest: 559
  Travel complete, distance: 576 shortest: 232 longest: 559
  Travel complete, distance: 500 shortest: 232 longest: 576
  Travel complete, distance: 459 shortest: 232 longest: 576
  Travel complete, distance: 477 shortest: 232 longest: 576
  Travel complete, distance: 342 shortest: 232 longest: 576
  Travel complete, distance: 440 shortest: 232 longest: 576
  Travel complete, distance: 581 shortest: 232 longest: 576
  Travel complete, distance: 422 shortest: 232 longest: 581
  Travel complete, distance: 446 shortest: 232 longest: 581
  Travel complete, distance: 464 shortest: 232 longest: 581
  Travel complete, distance: 347 shortest: 232 longest: 581
  Travel complete, distance: 378 shortest: 232 longest: 581
  Travel complete, distance: 318 shortest: 232 longest: 581
  Travel complete, distance: 568 shortest: 232 longest: 581
  Travel complete, distance: 445 shortest: 232 longest: 581
  Travel complete, distance: 521 shortest: 232 longest: 581
  Travel complete, distance: 458 shortest: 232 longest: 581
  Travel complete, distance: 437 shortest: 232 longest: 581
  Travel complete, distance: 390 shortest: 232 longest: 581
  Travel complete, distance: 640 shortest: 232 longest: 581
  Travel complete, distance: 500 shortest: 232 longest: 640
  Travel complete, distance: 580 shortest: 232 longest: 640
  Travel complete, distance: 487 shortest: 232 longest: 640
  Travel complete, distance: 482 shortest: 232 longest: 640
  Travel complete, distance: 562 shortest: 232 longest: 640
  Travel complete, distance: 495 shortest: 232 longest: 640
  Travel complete, distance: 545 shortest: 232 longest: 640
  Travel complete, distance: 372 shortest: 232 longest: 640
  Travel complete, distance: 342 shortest: 232 longest: 640
  Travel complete, distance: 430 shortest: 232 longest: 640
  Travel complete, distance: 557 shortest: 232 longest: 640
  Travel complete, distance: 417 shortest: 232 longest: 640
  Travel complete, distance: 527 shortest: 232 longest: 640
  Travel complete, distance: 354 shortest: 232 longest: 640
  Travel complete, distance: 337 shortest: 232 longest: 640
  Travel complete, distance: 405 shortest: 232 longest: 640
  Travel complete, distance: 427 shortest: 232 longest: 640
  Travel complete, distance: 496 shortest: 232 longest: 640
  Travel complete, distance: 413 shortest: 232 longest: 640
  Travel complete, distance: 590 shortest: 232 longest: 640
  Travel complete, distance: 485 shortest: 232 longest: 640
  Travel complete, distance: 346 shortest: 232 longest: 640
  Travel complete, distance: 440 shortest: 232 longest: 640
  Travel complete, distance: 509 shortest: 232 longest: 640
  Travel complete, distance: 468 shortest: 232 longest: 640
  Travel complete, distance: 531 shortest: 232 longest: 640
  Travel complete, distance: 396 shortest: 232 longest: 640
  Travel complete, distance: 351 shortest: 232 longest: 640
  Travel complete, distance: 431 shortest: 232 longest: 640
  Travel complete, distance: 423 shortest: 232 longest: 640
  Travel complete, distance: 473 shortest: 232 longest: 640
  Travel complete, distance: 340 shortest: 232 longest: 640
  Travel complete, distance: 310 shortest: 232 longest: 640
  Travel complete, distance: 400 shortest: 232 longest: 640
  Travel complete, distance: 386 shortest: 232 longest: 640
  Travel complete, distance: 328 shortest: 232 longest: 640
  Travel complete, distance: 356 shortest: 232 longest: 640
  Travel complete, distance: 223 shortest: 232 longest: 640
  Travel complete, distance: 265 shortest: 223 longest: 640
  Travel complete, distance: 461 shortest: 223 longest: 640
  Travel complete, distance: 543 shortest: 223 longest: 640
  Travel complete, distance: 547 shortest: 223 longest: 640
  Travel complete, distance: 529 shortest: 223 longest: 640
  Travel complete, distance: 688 shortest: 223 longest: 640
  Travel complete, distance: 588 shortest: 223 longest: 688
  Travel complete, distance: 389 shortest: 223 longest: 688
  Travel complete, distance: 530 shortest: 223 longest: 688
  Travel complete, distance: 534 shortest: 223 longest: 688
  Travel complete, distance: 558 shortest: 223 longest: 688
  Travel complete, distance: 616 shortest: 223 longest: 688
  Travel complete, distance: 499 shortest: 223 longest: 688
  Travel complete, distance: 384 shortest: 223 longest: 688
  Travel complete, distance: 511 shortest: 223 longest: 688
  Travel complete, distance: 443 shortest: 223 longest: 688
  Travel complete, distance: 553 shortest: 223 longest: 688
  Travel complete, distance: 425 shortest: 223 longest: 688
  Travel complete, distance: 408 shortest: 223 longest: 688
  Travel complete, distance: 485 shortest: 223 longest: 688
  Travel complete, distance: 471 shortest: 223 longest: 688
  Travel complete, distance: 426 shortest: 223 longest: 688
  Travel complete, distance: 454 shortest: 223 longest: 688
  Travel complete, distance: 326 shortest: 223 longest: 688
  Travel complete, distance: 368 shortest: 223 longest: 688
  Travel complete, distance: 348 shortest: 223 longest: 688
  Travel complete, distance: 283 shortest: 223 longest: 688
  Travel complete, distance: 388 shortest: 223 longest: 688
  Travel complete, distance: 365 shortest: 223 longest: 688
  Travel complete, distance: 328 shortest: 223 longest: 688
  Travel complete, distance: 370 shortest: 223 longest: 688
  Travel complete, distance: 429 shortest: 223 longest: 688
  Travel complete, distance: 369 shortest: 223 longest: 688
  Travel complete, distance: 474 shortest: 223 longest: 688
  Travel complete, distance: 351 shortest: 223 longest: 688
  Travel complete, distance: 409 shortest: 223 longest: 688
  Travel complete, distance: 346 shortest: 223 longest: 688
  Travel complete, distance: 397 shortest: 223 longest: 688
  Travel complete, distance: 419 shortest: 223 longest: 688
  Travel complete, distance: 402 shortest: 223 longest: 688
  Travel complete, distance: 319 shortest: 223 longest: 688
  Travel complete, distance: 379 shortest: 223 longest: 688
  Travel complete, distance: 274 shortest: 223 longest: 688
  Travel complete, distance: 440 shortest: 223 longest: 688
  Travel complete, distance: 522 shortest: 223 longest: 688
  Travel complete, distance: 435 shortest: 223 longest: 688
  Travel complete, distance: 417 shortest: 223 longest: 688
  Travel complete, distance: 477 shortest: 223 longest: 688
  Travel complete, distance: 377 shortest: 223 longest: 688
  Travel complete, distance: 324 shortest: 223 longest: 688
  Travel complete, distance: 259 shortest: 223 longest: 688
  Travel complete, distance: 292 shortest: 223 longest: 688
  Travel complete, distance: 269 shortest: 223 longest: 688
  Travel complete, distance: 330 shortest: 223 longest: 688
  Travel complete, distance: 372 shortest: 223 longest: 688
  Travel complete, distance: 333 shortest: 223 longest: 688
  Travel complete, distance: 371 shortest: 223 longest: 688
  Travel complete, distance: 404 shortest: 223 longest: 688
  Travel complete, distance: 328 shortest: 223 longest: 688
  Travel complete, distance: 339 shortest: 223 longest: 688
  Travel complete, distance: 225 shortest: 223 longest: 688
  Travel complete, distance: 373 shortest: 223 longest: 688
  Travel complete, distance: 421 shortest: 223 longest: 688
  Travel complete, distance: 476 shortest: 223 longest: 688
  Travel complete, distance: 368 shortest: 223 longest: 688
  Travel complete, distance: 453 shortest: 223 longest: 688
  Travel complete, distance: 297 shortest: 223 longest: 688
  Travel complete, distance: 416 shortest: 223 longest: 688
  Travel complete, distance: 426 shortest: 223 longest: 688
  Travel complete, distance: 313 shortest: 223 longest: 688
  Travel complete, distance: 270 shortest: 223 longest: 688
  Travel complete, distance: 355 shortest: 223 longest: 688
  Travel complete, distance: 302 shortest: 223 longest: 688
  Travel complete, distance: 410 shortest: 223 longest: 688
  Travel complete, distance: 350 shortest: 223 longest: 688
  Travel complete, distance: 464 shortest: 223 longest: 688
  Travel complete, distance: 341 shortest: 223 longest: 688
  Travel complete, distance: 502 shortest: 223 longest: 688
  Travel complete, distance: 439 shortest: 223 longest: 688
  Travel complete, distance: 338 shortest: 223 longest: 688
  Travel complete, distance: 376 shortest: 223 longest: 688
  Travel complete, distance: 490 shortest: 223 longest: 688
  Travel complete, distance: 414 shortest: 223 longest: 688
  Travel complete, distance: 430 shortest: 223 longest: 688
  Travel complete, distance: 316 shortest: 223 longest: 688
  Travel complete, distance: 383 shortest: 223 longest: 688
  Travel complete, distance: 412 shortest: 223 longest: 688
  Travel complete, distance: 481 shortest: 223 longest: 688
  Travel complete, distance: 459 shortest: 223 longest: 688
  Travel complete, distance: 358 shortest: 223 longest: 688
  Travel complete, distance: 307 shortest: 223 longest: 688
  Travel complete, distance: 416 shortest: 223 longest: 688
  Travel complete, distance: 407 shortest: 223 longest: 688
  Travel complete, distance: 318 shortest: 223 longest: 688
  Travel complete, distance: 356 shortest: 223 longest: 688
  Travel complete, distance: 255 shortest: 223 longest: 688
  Travel complete, distance: 302 shortest: 223 longest: 688
  Travel complete, distance: 437 shortest: 223 longest: 688
  Travel complete, distance: 459 shortest: 223 longest: 688
  Travel complete, distance: 523 shortest: 223 longest: 688
  Travel complete, distance: 440 shortest: 223 longest: 688
  Travel complete, distance: 571 shortest: 223 longest: 688
  Travel complete, distance: 466 shortest: 223 longest: 688
  Travel complete, distance: 509 shortest: 223 longest: 688
  Travel complete, distance: 557 shortest: 223 longest: 688
  Travel complete, distance: 621 shortest: 223 longest: 688
  Travel complete, distance: 513 shortest: 223 longest: 688
  Travel complete, distance: 643 shortest: 223 longest: 688
  Travel complete, distance: 487 shortest: 223 longest: 688
  Travel complete, distance: 514 shortest: 223 longest: 688
  Travel complete, distance: 543 shortest: 223 longest: 688
  Travel complete, distance: 540 shortest: 223 longest: 688
  Travel complete, distance: 518 shortest: 223 longest: 688
  Travel complete, distance: 457 shortest: 223 longest: 688
  Travel complete, distance: 406 shortest: 223 longest: 688
  Travel complete, distance: 517 shortest: 223 longest: 688
  Travel complete, distance: 498 shortest: 223 longest: 688
  Travel complete, distance: 491 shortest: 223 longest: 688
  Travel complete, distance: 447 shortest: 223 longest: 688
  Travel complete, distance: 386 shortest: 223 longest: 688
  Travel complete, distance: 361 shortest: 223 longest: 688
  Travel complete, distance: 493 shortest: 223 longest: 688
  Travel complete, distance: 575 shortest: 223 longest: 688
  Travel complete, distance: 574 shortest: 223 longest: 688
  Travel complete, distance: 556 shortest: 223 longest: 688
  Travel complete, distance: 584 shortest: 223 longest: 688
  Travel complete, distance: 484 shortest: 223 longest: 688
  Travel complete, distance: 467 shortest: 223 longest: 688
  Travel complete, distance: 477 shortest: 223 longest: 688
  Travel complete, distance: 476 shortest: 223 longest: 688
  Travel complete, distance: 433 shortest: 223 longest: 688
  Travel complete, distance: 558 shortest: 223 longest: 688
  Travel complete, distance: 505 shortest: 223 longest: 688
  Travel complete, distance: 462 shortest: 223 longest: 688
  Travel complete, distance: 453 shortest: 223 longest: 688
  Travel complete, distance: 390 shortest: 223 longest: 688
  Travel complete, distance: 428 shortest: 223 longest: 688
  Travel complete, distance: 372 shortest: 223 longest: 688
  Travel complete, distance: 419 shortest: 223 longest: 688
  Travel complete, distance: 432 shortest: 223 longest: 688
  Travel complete, distance: 413 shortest: 223 longest: 688
  Travel complete, distance: 504 shortest: 223 longest: 688
  Travel complete, distance: 460 shortest: 223 longest: 688
  Travel complete, distance: 404 shortest: 223 longest: 688
  Travel complete, distance: 379 shortest: 223 longest: 688
  Travel complete, distance: 285 shortest: 223 longest: 688
  Travel complete, distance: 220 shortest: 223 longest: 688
  Travel complete, distance: 384 shortest: 220 longest: 688
  Travel complete, distance: 361 shortest: 220 longest: 688
  Travel complete, distance: 337 shortest: 220 longest: 688
  Travel complete, distance: 379 shortest: 220 longest: 688
  Travel complete, distance: 406 shortest: 220 longest: 688
  Travel complete, distance: 359 shortest: 220 longest: 688
  Travel complete, distance: 523 shortest: 220 longest: 688
  Travel complete, distance: 383 shortest: 220 longest: 688
  Travel complete, distance: 458 shortest: 220 longest: 688
  Travel complete, distance: 365 shortest: 220 longest: 688
  Travel complete, distance: 374 shortest: 220 longest: 688
  Travel complete, distance: 468 shortest: 220 longest: 688
  Travel complete, distance: 392 shortest: 220 longest: 688
  Travel complete, distance: 351 shortest: 220 longest: 688
  Travel complete, distance: 369 shortest: 220 longest: 688
  Travel complete, distance: 234 shortest: 220 longest: 688
  Travel complete, distance: 430 shortest: 220 longest: 688
  Travel complete, distance: 571 shortest: 220 longest: 688
  Travel complete, distance: 412 shortest: 220 longest: 688
  Travel complete, distance: 436 shortest: 220 longest: 688
  Travel complete, distance: 454 shortest: 220 longest: 688
  Travel complete, distance: 337 shortest: 220 longest: 688
  Travel complete, distance: 280 shortest: 220 longest: 688
  Travel complete, distance: 215 shortest: 220 longest: 688
  Travel complete, distance: 248 shortest: 215 longest: 688
  Travel complete, distance: 225 shortest: 215 longest: 688
  Travel complete, distance: 286 shortest: 215 longest: 688
  Travel complete, distance: 328 shortest: 215 longest: 688
  Travel complete, distance: 270 shortest: 215 longest: 688
  Travel complete, distance: 308 shortest: 215 longest: 688
  Travel complete, distance: 341 shortest: 215 longest: 688
  Travel complete, distance: 265 shortest: 215 longest: 688
  Travel complete, distance: 276 shortest: 215 longest: 688
  Travel complete, distance: 162 shortest: 215 longest: 688
  Travel complete, distance: 369 shortest: 162 longest: 688
  Travel complete, distance: 417 shortest: 162 longest: 688
  Travel complete, distance: 472 shortest: 162 longest: 688
  Travel complete, distance: 364 shortest: 162 longest: 688
  Travel complete, distance: 449 shortest: 162 longest: 688
  Travel complete, distance: 293 shortest: 162 longest: 688
  Travel complete, distance: 425 shortest: 162 longest: 688
  Travel complete, distance: 435 shortest: 162 longest: 688
  Travel complete, distance: 322 shortest: 162 longest: 688
  Travel complete, distance: 279 shortest: 162 longest: 688
  Travel complete, distance: 364 shortest: 162 longest: 688
  Travel complete, distance: 311 shortest: 162 longest: 688
  Travel complete, distance: 425 shortest: 162 longest: 688
  Travel complete, distance: 378 shortest: 162 longest: 688
  Travel complete, distance: 532 shortest: 162 longest: 688
  Travel complete, distance: 392 shortest: 162 longest: 688
  Travel complete, distance: 570 shortest: 162 longest: 688
  Travel complete, distance: 477 shortest: 162 longest: 688
  Travel complete, distance: 294 shortest: 162 longest: 688
  Travel complete, distance: 332 shortest: 162 longest: 688
  Travel complete, distance: 486 shortest: 162 longest: 688
  Travel complete, distance: 410 shortest: 162 longest: 688
  Travel complete, distance: 439 shortest: 162 longest: 688
  Travel complete, distance: 325 shortest: 162 longest: 688
  Travel complete, distance: 411 shortest: 162 longest: 688
  Travel complete, distance: 463 shortest: 162 longest: 688
  Travel complete, distance: 496 shortest: 162 longest: 688
  Travel complete, distance: 527 shortest: 162 longest: 688
  Travel complete, distance: 356 shortest: 162 longest: 688
  Travel complete, distance: 335 shortest: 162 longest: 688
  Travel complete, distance: 431 shortest: 162 longest: 688
  Travel complete, distance: 445 shortest: 162 longest: 688
  Travel complete, distance: 346 shortest: 162 longest: 688
  Travel complete, distance: 424 shortest: 162 longest: 688
  Travel complete, distance: 253 shortest: 162 longest: 688
  Travel complete, distance: 317 shortest: 162 longest: 688
  Travel complete, distance: 334 shortest: 162 longest: 688
  Travel complete, distance: 428 shortest: 162 longest: 688
  Travel complete, distance: 473 shortest: 162 longest: 688
  Travel complete, distance: 432 shortest: 162 longest: 688
  Travel complete, distance: 521 shortest: 162 longest: 688
  Travel complete, distance: 386 shortest: 162 longest: 688
  Travel complete, distance: 465 shortest: 162 longest: 688
  Travel complete, distance: 513 shortest: 162 longest: 688
  Travel complete, distance: 558 shortest: 162 longest: 688
  Travel complete, distance: 450 shortest: 162 longest: 688
  Travel complete, distance: 652 shortest: 162 longest: 688
  Travel complete, distance: 496 shortest: 162 longest: 688
  Travel complete, distance: 483 shortest: 162 longest: 688
  Travel complete, distance: 535 shortest: 162 longest: 688
  Travel complete, distance: 437 shortest: 162 longest: 688
  Travel complete, distance: 468 shortest: 162 longest: 688
  Travel complete, distance: 396 shortest: 162 longest: 688
  Travel complete, distance: 375 shortest: 162 longest: 688
  Travel complete, distance: 414 shortest: 162 longest: 688
  Travel complete, distance: 418 shortest: 162 longest: 688
  Travel complete, distance: 460 shortest: 162 longest: 688
  Travel complete, distance: 397 shortest: 162 longest: 688
  Travel complete, distance: 325 shortest: 162 longest: 688
  Travel complete, distance: 258 shortest: 162 longest: 688
  Travel complete, distance: 377 shortest: 162 longest: 688
  Travel complete, distance: 518 shortest: 162 longest: 688
  Travel complete, distance: 498 shortest: 162 longest: 688
  Travel complete, distance: 522 shortest: 162 longest: 688
  Travel complete, distance: 508 shortest: 162 longest: 688
  Travel complete, distance: 391 shortest: 162 longest: 688
  Travel complete, distance: 423 shortest: 162 longest: 688
  Travel complete, distance: 433 shortest: 162 longest: 688
  Travel complete, distance: 413 shortest: 162 longest: 688
  Travel complete, distance: 370 shortest: 162 longest: 688
  Travel complete, distance: 554 shortest: 162 longest: 688
  Travel complete, distance: 501 shortest: 162 longest: 688
  Travel complete, distance: 405 shortest: 162 longest: 688
  Travel complete, distance: 419 shortest: 162 longest: 688
  Travel complete, distance: 274 shortest: 162 longest: 688
  Travel complete, distance: 352 shortest: 162 longest: 688
  Travel complete, distance: 298 shortest: 162 longest: 688
  Travel complete, distance: 362 shortest: 162 longest: 688
  Travel complete, distance: 316 shortest: 162 longest: 688
  Travel complete, distance: 320 shortest: 162 longest: 688
  Travel complete, distance: 447 shortest: 162 longest: 688
  Travel complete, distance: 384 shortest: 162 longest: 688
  Travel complete, distance: 330 shortest: 162 longest: 688
  Travel complete, distance: 263 shortest: 162 longest: 688
  Travel complete, distance: 377 shortest: 162 longest: 688
  Travel complete, distance: 317 shortest: 162 longest: 688
  Travel complete, distance: 567 shortest: 162 longest: 688
  Travel complete, distance: 444 shortest: 162 longest: 688
  Travel complete, distance: 520 shortest: 162 longest: 688
  Travel complete, distance: 457 shortest: 162 longest: 688
  Travel complete, distance: 417 shortest: 162 longest: 688
  Travel complete, distance: 370 shortest: 162 longest: 688
  Travel complete, distance: 620 shortest: 162 longest: 688
  Travel complete, distance: 480 shortest: 162 longest: 688
  Travel complete, distance: 560 shortest: 162 longest: 688
  Travel complete, distance: 467 shortest: 162 longest: 688
  Travel complete, distance: 471 shortest: 162 longest: 688
  Travel complete, distance: 551 shortest: 162 longest: 688
  Travel complete, distance: 484 shortest: 162 longest: 688
  Travel complete, distance: 534 shortest: 162 longest: 688
  Travel complete, distance: 361 shortest: 162 longest: 688
  Travel complete, distance: 331 shortest: 162 longest: 688
  Travel complete, distance: 522 shortest: 162 longest: 688
  Travel complete, distance: 649 shortest: 162 longest: 688
  Travel complete, distance: 509 shortest: 162 longest: 688
  Travel complete, distance: 619 shortest: 162 longest: 688
  Travel complete, distance: 446 shortest: 162 longest: 688
  Travel complete, distance: 429 shortest: 162 longest: 688
  Travel complete, distance: 382 shortest: 162 longest: 688
  Travel complete, distance: 322 shortest: 162 longest: 688
  Travel complete, distance: 436 shortest: 162 longest: 688
  Travel complete, distance: 313 shortest: 162 longest: 688
  Travel complete, distance: 474 shortest: 162 longest: 688
  Travel complete, distance: 411 shortest: 162 longest: 688
  Travel complete, distance: 286 shortest: 162 longest: 688
  Travel complete, distance: 324 shortest: 162 longest: 688
  Travel complete, distance: 438 shortest: 162 longest: 688
  Travel complete, distance: 362 shortest: 162 longest: 688
  Travel complete, distance: 378 shortest: 162 longest: 688
  Travel complete, distance: 264 shortest: 162 longest: 688
  Travel complete, distance: 476 shortest: 162 longest: 688
  Travel complete, distance: 505 shortest: 162 longest: 688
  Travel complete, distance: 574 shortest: 162 longest: 688
